Top Level Branch,Top Level Sold To,Zone,Top Level Order,Top Level Line,Last Next Status,Shipment Number(s),TL SO Alert,ECD,ECD Notes,Line Creation,Top Level Type,Schedule Pick Date,Promised Delivery Date,Top Level Item,Supply Item Description,SRP1,SC Rep,Line Amount,Region Zone
Branch 2,Customer_6834,East,ORD486941,LINE871452,Delivered,SHP353730,,2023-08-05,on track,2023-07-16,Type 1,2023-07-18,2023-08-06,Product_7201,Description of item,222.09,Rep A,1460.88,Zone A
Branch 2,Customer_9876,East,ORD296213,LINE589460,Shipped,SHP453138,,2023-04-17,inventory mismatch,2023-04-03,Type 1,2023-04-05,2023-04-10,Product_2007,Description of item,483.62,Rep C,593.67,Zone C
Branch 1,Customer_2404,South,ORD693316,LINE356618,Shipped,SHP831477,,2023-02-27,QA inspection delays,2023-01-28,Type 2,2023-01-30,2023-02-08,Product_4447,Description of item,175.63,Rep A,624.3,Zone C
Branch 3,Customer_5774,West,ORD396796,LINE124787,Shipped,SHP188744,,2021-04-26,on track,2021-04-05,Type 2,2021-04-07,2021-04-27,Product_10664,Description of item,398.55,Rep C,9832.46,Zone A
Branch 2,Customer_2012,South,ORD113093,LINE295512,Shipped,SHP907864,,2020-09-11,on track,2020-08-19,Type 3,2020-08-21,2020-09-13,Product_6950,Description of item,441.18,Rep A,7485.88,Zone B
Branch 4,Customer_4589,West,ORD651763,LINE633811,Delivered,SHP554502,,2022-01-24,shipping container shortage,2021-12-25,Type 3,2021-12-27,2022-01-23,Product_3499,Description of item,29.86,Rep D,703.55,Zone D
Branch 1,Customer_3432,West,ORD588559,LINE165418,Processing,SHP293158,URGENT,2023-07-18,inventory mismatch,2023-06-27,Type 2,2023-06-29,2023-07-13,Product_4936,Description of item,365.82,Rep D,8974.75,Zone A
Branch 3,Customer_6846,West,ORD730806,LINE107842,Delivered,SHP492532,,2020-09-03,COVID-19 disruption,2020-08-07,Type 2,2020-08-09,2020-09-02,Product_1314,Description of item,296.03,Rep C,9524.1,Zone C
Branch 2,Customer_4471,South,ORD121172,LINE796960,Delivered,SHP122452,URGENT,2021-06-12,on track,2021-05-28,Type 1,2021-05-30,2021-06-14,Product_10055,Description of item,345.02,Rep C,4175.76,Zone C
Branch 2,Customer_6575,North,ORD460109,LINE726243,Delivered,SHP323946,,2025-03-13,other issue,2025-02-10,Type 2,2025-02-12,2025-03-09,Product_8592,Description of item,262.56,Rep B,9396.04,Zone C
Branch 4,Customer_5309,East,ORD315039,LINE390610,On Hold,SHP909210,,2023-09-07,on track,2023-08-19,Type 3,2023-08-21,2023-09-08,Product_5463,Description of item,334.97,Rep B,5664.24,Zone D
Branch 1,Customer_2514,East,ORD999677,LINE192249,Shipped,SHP976632,URGENT,2020-05-20,factory shutdown,2020-05-06,Type 2,2020-05-08,2020-05-16,Product_229,Description of item,420.08,Rep C,9551.0,Zone A
Branch 2,Customer_1911,South,ORD643182,LINE243654,On Hold,SHP708124,,2022-11-15,raw material shortage,2022-10-30,Type 2,2022-11-01,2022-11-13,Product_7249,Description of item,233.69,Rep A,7076.88,Zone D
Branch 2,Customer_7313,East,ORD771467,LINE402520,Processing,SHP112014,,2021-08-18,shipping container shortage,2021-08-06,Type 2,2021-08-08,2021-08-13,Product_4186,Description of item,150.89,Rep D,8739.62,Zone A
Branch 2,Customer_6125,North,ORD128646,LINE234517,Shipped,SHP268462,,2022-08-11,on track,2022-08-03,Type 2,2022-08-05,2022-08-12,Product_5071,Description of item,205.49,Rep B,8752.65,Zone B
Branch 4,Customer_5531,West,ORD474817,LINE332632,On Hold,SHP713704,,2020-04-25,on track,2020-04-01,Type 3,2020-04-03,2020-04-27,Product_1514,Description of item,431.71,Rep B,8763.61,Zone B
Branch 4,Customer_2606,East,ORD271647,LINE813915,Processing,SHP864601,,2021-07-17,labor shortage,2021-06-19,Type 3,2021-06-21,2021-07-01,Product_7573,Description of item,312.18,Rep C,1670.25,Zone D
Branch 2,Customer_6156,North,ORD958745,LINE321077,Processing,SHP851865,,2024-08-11,on track,2024-08-05,Type 3,2024-08-07,2024-08-13,Product_9392,Description of item,160.11,Rep D,586.56,Zone B
Branch 2,Customer_6758,East,ORD241260,LINE823799,Delivered,SHP758674,URGENT,2020-07-28,on track,2020-07-25,Type 2,2020-07-27,2020-07-30,Product_10171,Description of item,81.05,Rep B,9316.09,Zone D
Branch 1,Customer_1947,West,ORD605036,LINE334811,Delivered,SHP349870,URGENT,2021-11-01,on track,2021-10-26,Type 3,2021-10-28,2021-11-02,Product_2520,Description of item,160.94,Rep B,2620.43,Zone C
Branch 2,Customer_5066,East,ORD366980,LINE230511,Processing,SHP248994,,2022-07-31,supplier price changes,2022-06-27,Type 3,2022-06-29,2022-07-16,Product_10592,Description of item,206.13,Rep C,5173.42,Zone B
Branch 3,Customer_1217,West,ORD539253,LINE292171,Processing,SHP521836,URGENT,2024-04-29,production capacity limits,2024-03-25,Type 1,2024-03-27,2024-04-23,Product_6977,Description of item,407.7,Rep B,3562.37,Zone B
Branch 3,Customer_6087,West,ORD552699,LINE834780,Processing,SHP349772,,2022-09-21,on track,2022-08-25,Type 2,2022-08-27,2022-09-23,Product_4931,Description of item,33.32,Rep D,3123.09,Zone B
Branch 2,Customer_2103,East,ORD211538,LINE313976,On Hold,SHP454861,,2023-02-08,on track,2023-01-17,Type 3,2023-01-19,2023-02-08,Product_7514,Description of item,151.81,Rep D,6602.67,Zone A
Branch 4,Customer_8599,North,ORD970489,LINE531889,On Hold,SHP498487,,2024-09-10,holiday backlog,2024-08-04,Type 3,2024-08-06,2024-08-24,Product_2176,Description of item,464.46,Rep B,3455.82,Zone C
Branch 4,Customer_3193,North,ORD182297,LINE353195,Shipped,SHP982730,,2023-08-15,inventory mismatch,2023-07-25,Type 1,2023-07-27,2023-07-31,Product_3868,Description of item,457.86,Rep A,8542.96,Zone C
Branch 3,Customer_2328,South,ORD677889,LINE224921,On Hold,SHP534342,,2021-05-28,on track,2021-05-04,Type 3,2021-05-06,2021-05-30,Product_9391,Description of item,140.39,Rep C,8763.06,Zone D
Branch 4,Customer_8567,North,ORD861591,LINE880841,Delivered,SHP930768,,2023-05-15,inventory mismatch,2023-04-20,Type 1,2023-04-22,2023-05-09,Product_8858,Description of item,28.6,Rep B,2699.7,Zone B
Branch 2,Customer_4814,West,ORD751975,LINE191102,Delivered,SHP593697,,2021-04-06,labor shortage,2021-03-21,Type 1,2021-03-23,2021-03-26,Product_11010,Description of item,431.91,Rep B,9887.41,Zone C
Branch 3,Customer_8889,East,ORD562801,LINE887270,Processing,SHP929581,,2020-10-20,supply chain delay,2020-10-05,Type 2,2020-10-07,2020-10-14,Product_11424,Description of item,165.21,Rep D,8650.21,Zone C
Branch 4,Customer_5499,East,ORD668781,LINE966191,On Hold,SHP803654,URGENT,2022-09-29,supplier price changes,2022-09-04,Type 1,2022-09-06,2022-09-18,Product_2163,Description of item,284.45,Rep C,4315.98,Zone A
Branch 4,Customer_3340,North,ORD734682,LINE235078,Shipped,SHP806866,,2023-06-19,on track,2023-06-08,Type 1,2023-06-10,2023-06-20,Product_6423,Description of item,241.55,Rep B,1030.37,Zone C
Branch 2,Customer_6047,East,ORD333481,LINE302543,Shipped,SHP664587,,2021-06-17,shipping container shortage,2021-05-23,Type 2,2021-05-25,2021-06-09,Product_4389,Description of item,268.08,Rep A,8698.74,Zone B
Branch 1,Customer_9907,South,ORD598736,LINE231647,Delivered,SHP734820,,2024-09-30,production capacity limits,2024-09-08,Type 3,2024-09-10,2024-09-13,Product_1181,Description of item,296.68,Rep A,7075.03,Zone A
Branch 2,Customer_2978,South,ORD971911,LINE990356,Shipped,SHP805359,URGENT,2023-07-19,on track,2023-06-24,Type 1,2023-06-26,2023-07-21,Product_664,Description of item,359.36,Rep C,8399.86,Zone C
Branch 3,Customer_9647,East,ORD669709,LINE323007,On Hold,SHP862214,URGENT,2024-02-15,holiday backlog,2024-01-22,Type 3,2024-01-24,2024-02-11,Product_7477,Description of item,494.79,Rep B,2005.35,Zone A
Branch 4,Customer_6755,North,ORD455318,LINE924017,Delivered,SHP124576,URGENT,2024-09-11,on track,2024-08-16,Type 1,2024-08-18,2024-09-11,Product_2838,Description of item,246.77,Rep A,8567.47,Zone B
Branch 2,Customer_1850,North,ORD287661,LINE815606,On Hold,SHP781409,URGENT,2023-08-30,on track,2023-08-11,Type 2,2023-08-13,2023-08-30,Product_8649,Description of item,228.5,Rep D,4763.87,Zone C
Branch 4,Customer_3028,West,ORD399057,LINE417755,On Hold,SHP804422,,2022-12-17,on track,2022-12-12,Type 1,2022-12-14,2022-12-17,Product_3870,Description of item,63.59,Rep A,5667.02,Zone A
Branch 1,Customer_4441,South,ORD820661,LINE332218,Delivered,SHP878857,,2023-05-31,on track,2023-05-18,Type 2,2023-05-20,2023-06-01,Product_7094,Description of item,222.4,Rep D,3737.51,Zone C
Branch 2,Customer_7854,East,ORD958032,LINE262607,Processing,SHP489428,,2022-07-08,on track,2022-06-11,Type 3,2022-06-13,2022-07-08,Product_2947,Description of item,196.27,Rep B,8639.87,Zone A
Branch 1,Customer_7190,South,ORD146882,LINE133371,Delivered,SHP277148,URGENT,2020-07-07,supply chain delay,2020-06-09,Type 1,2020-06-11,2020-06-18,Product_1072,Description of item,338.82,Rep A,3415.39,Zone D
Branch 2,Customer_6986,South,ORD842607,LINE214748,Delivered,SHP150580,URGENT,2025-02-27,other issue,2025-02-09,Type 2,2025-02-11,2025-02-21,Product_10515,Description of item,466.83,Rep A,2437.38,Zone C
Branch 1,Customer_6555,West,ORD339671,LINE537562,Processing,SHP430092,URGENT,2021-10-08,shipping container shortage,2021-09-28,Type 3,2021-09-30,2021-10-05,Product_9219,Description of item,145.35,Rep D,3845.92,Zone C
Branch 2,Customer_6864,West,ORD988671,LINE783047,Processing,SHP545810,,2020-12-12,on track,2020-11-18,Type 3,2020-11-20,2020-12-12,Product_396,Description of item,259.52,Rep C,6414.13,Zone A
Branch 1,Customer_2884,North,ORD273713,LINE124864,Delivered,SHP273360,,2020-12-31,on track,2020-12-24,Type 2,2020-12-26,2021-01-02,Product_8613,Description of item,428.13,Rep D,2446.19,Zone D
Branch 4,Customer_4178,West,ORD449079,LINE142285,On Hold,SHP752774,,2021-07-21,shipping container shortage,2021-07-13,Type 1,2021-07-15,2021-07-18,Product_9823,Description of item,363.05,Rep D,6585.98,Zone D
Branch 4,Customer_5352,West,ORD765348,LINE475763,Shipped,SHP337749,,2021-10-09,shipping container shortage,2021-09-14,Type 2,2021-09-16,2021-09-24,Product_4734,Description of item,393.84,Rep B,7209.38,Zone C
Branch 2,Customer_3586,South,ORD273423,LINE283972,On Hold,SHP857403,,2024-11-05,on track,2024-10-08,Type 2,2024-10-10,2024-11-05,Product_8612,Description of item,188.77,Rep B,9404.42,Zone D
Branch 1,Customer_2284,South,ORD716057,LINE937815,Processing,SHP776695,URGENT,2022-08-15,inflation impact,2022-07-06,Type 2,2022-07-08,2022-07-28,Product_6718,Description of item,453.18,Rep C,3594.72,Zone B
Branch 4,Customer_2119,North,ORD954499,LINE384329,Processing,SHP456824,,2020-05-13,COVID-19 disruption,2020-04-17,Type 2,2020-04-19,2020-04-28,Product_8930,Description of item,454.22,Rep D,8581.92,Zone C
Branch 2,Customer_5757,West,ORD858087,LINE125990,Shipped,SHP834982,URGENT,2025-02-27,on track,2025-02-09,Type 1,2025-02-11,2025-03-01,Product_11032,Description of item,130.07,Rep B,6517.28,Zone C
Branch 1,Customer_7707,West,ORD190548,LINE551328,Delivered,SHP491179,,2020-08-01,on track,2020-07-17,Type 1,2020-07-19,2020-08-01,Product_3041,Description of item,346.98,Rep B,7411.5,Zone C
Branch 1,Customer_3996,South,ORD676035,LINE184921,Delivered,SHP958233,,2024-12-25,on track,2024-11-27,Type 1,2024-11-29,2024-12-25,Product_10370,Description of item,120.53,Rep D,9589.53,Zone C
Branch 3,Customer_3259,West,ORD779395,LINE533779,Delivered,SHP361732,,2022-02-02,on track,2022-01-19,Type 3,2022-01-21,2022-02-02,Product_8559,Description of item,216.48,Rep B,7255.79,Zone C
Branch 1,Customer_4313,West,ORD878164,LINE929575,Processing,SHP964742,,2021-03-20,on track,2021-03-12,Type 2,2021-03-14,2021-03-22,Product_948,Description of item,376.21,Rep A,3782.64,Zone B
Branch 3,Customer_1107,West,ORD876111,LINE936889,Delivered,SHP506498,,2023-09-14,inventory mismatch,2023-08-16,Type 3,2023-08-18,2023-09-09,Product_11028,Description of item,28.07,Rep D,4753.46,Zone C
Branch 3,Customer_8077,South,ORD818332,LINE629440,On Hold,SHP391264,,2024-01-24,on track,2024-01-18,Type 3,2024-01-20,2024-01-25,Product_7801,Description of item,466.21,Rep D,7483.6,Zone A
Branch 4,Customer_2631,South,ORD306891,LINE957713,Delivered,SHP789588,URGENT,2021-12-21,shipping container shortage,2021-11-29,Type 1,2021-12-01,2021-12-16,Product_7690,Description of item,403.57,Rep B,3737.75,Zone C
Branch 1,Customer_6826,North,ORD549174,LINE669308,Processing,SHP632270,,2023-04-17,QA inspection delays,2023-03-13,Type 2,2023-03-15,2023-04-07,Product_10270,Description of item,67.49,Rep B,1493.87,Zone C
Branch 3,Customer_9148,East,ORD102826,LINE430215,Processing,SHP485763,,2024-06-27,holiday backlog,2024-06-09,Type 2,2024-06-11,2024-06-16,Product_8491,Description of item,334.34,Rep C,7313.54,Zone D
Branch 2,Customer_5434,North,ORD548092,LINE621654,Delivered,SHP822543,,2023-09-03,inventory mismatch,2023-08-20,Type 2,2023-08-22,2023-08-28,Product_9001,Description of item,76.09,Rep B,7960.52,Zone B
Branch 1,Customer_2795,West,ORD392953,LINE322319,On Hold,SHP106105,URGENT,2021-01-31,labor shortage,2021-01-11,Type 2,2021-01-13,2021-01-29,Product_1574,Description of item,55.55,Rep A,6290.65,Zone A
Branch 3,Customer_1781,North,ORD704001,LINE894573,On Hold,SHP730056,,2020-10-07,supply chain delay,2020-09-04,Type 2,2020-09-06,2020-09-19,Product_5662,Description of item,412.63,Rep A,1794.71,Zone A
Branch 1,Customer_6317,North,ORD413455,LINE444202,Processing,SHP729917,,2021-01-22,on track,2021-01-09,Type 1,2021-01-11,2021-01-23,Product_9895,Description of item,465.35,Rep A,636.27,Zone D
Branch 1,Customer_2525,East,ORD779420,LINE799824,On Hold,SHP766770,,2022-01-03,on track,2021-12-08,Type 1,2021-12-10,2022-01-05,Product_2730,Description of item,140.74,Rep B,5799.49,Zone B
Branch 4,Customer_8419,East,ORD900729,LINE252148,Shipped,SHP497713,URGENT,2022-04-27,inflation impact,2022-04-06,Type 3,2022-04-08,2022-04-12,Product_551,Description of item,175.63,Rep A,8284.95,Zone A
Branch 2,Customer_3597,South,ORD935889,LINE664984,Processing,SHP895254,URGENT,2023-07-12,on track,2023-07-05,Type 3,2023-07-07,2023-07-14,Product_7603,Description of item,454.1,Rep C,6526.46,Zone B
Branch 1,Customer_2210,West,ORD631426,LINE555909,On Hold,SHP885038,URGENT,2022-06-10,on track,2022-05-15,Type 1,2022-05-17,2022-06-12,Product_6150,Description of item,175.23,Rep A,718.47,Zone C
Branch 3,Customer_3451,West,ORD875995,LINE635971,Processing,SHP996747,URGENT,2024-11-18,demand surge,2024-10-09,Type 2,2024-10-11,2024-11-07,Product_2432,Description of item,112.54,Rep A,2093.13,Zone D
Branch 2,Customer_1015,East,ORD515935,LINE788618,On Hold,SHP168702,URGENT,2024-05-28,on track,2024-05-10,Type 2,2024-05-12,2024-05-30,Product_10507,Description of item,55.73,Rep D,9046.32,Zone D
Branch 3,Customer_6151,South,ORD938521,LINE769300,Shipped,SHP433557,,2022-11-16,raw material shortage,2022-10-24,Type 1,2022-10-26,2022-11-14,Product_5732,Description of item,283.39,Rep C,3169.58,Zone D
Branch 4,Customer_8618,West,ORD719760,LINE155882,On Hold,SHP112042,URGENT,2020-08-07,on track,2020-07-28,Type 1,2020-07-30,2020-08-08,Product_4536,Description of item,134.5,Rep A,6544.55,Zone A
Branch 2,Customer_1167,West,ORD295996,LINE398644,On Hold,SHP905268,,2022-03-28,raw material shortage,2022-03-06,Type 1,2022-03-08,2022-03-19,Product_3875,Description of item,165.63,Rep B,8322.84,Zone B
Branch 4,Customer_6900,South,ORD297865,LINE492522,Shipped,SHP539856,,2025-02-22,other issue,2025-01-17,Type 3,2025-01-19,2025-02-07,Product_6836,Description of item,48.94,Rep D,1053.88,Zone D
Branch 3,Customer_2316,West,ORD607125,LINE868548,Delivered,SHP404323,,2024-12-30,holiday backlog,2024-11-28,Type 3,2024-11-30,2024-12-16,Product_3220,Description of item,210.46,Rep D,3712.48,Zone C
Branch 3,Customer_1418,West,ORD988466,LINE440092,Shipped,SHP574618,URGENT,2022-04-28,raw material shortage,2022-03-27,Type 1,2022-03-29,2022-04-16,Product_10142,Description of item,467.63,Rep A,5093.42,Zone A
Branch 4,Customer_2107,West,ORD304997,LINE859305,On Hold,SHP161794,,2022-12-23,inflation impact,2022-11-20,Type 1,2022-11-22,2022-12-17,Product_9988,Description of item,128.97,Rep B,6096.58,Zone D
Branch 4,Customer_2255,East,ORD382066,LINE206583,Processing,SHP398313,,2024-08-10,holiday backlog,2024-07-19,Type 3,2024-07-21,2024-07-26,Product_10108,Description of item,111.38,Rep B,6751.03,Zone B
Branch 2,Customer_2326,East,ORD989664,LINE875288,Shipped,SHP552063,,2021-08-08,labor shortage,2021-06-25,Type 3,2021-06-27,2021-07-24,Product_7409,Description of item,63.64,Rep B,4259.68,Zone A
Branch 3,Customer_6316,North,ORD325810,LINE726114,On Hold,SHP493357,,2023-04-21,QA inspection delays,2023-03-14,Type 3,2023-03-16,2023-04-07,Product_8646,Description of item,445.63,Rep B,9679.21,Zone A
Branch 2,Customer_2626,North,ORD400898,LINE526827,On Hold,SHP468863,URGENT,2021-02-26,on track,2021-02-14,Type 2,2021-02-16,2021-02-28,Product_6816,Description of item,335.79,Rep C,5466.71,Zone B
Branch 1,Customer_6615,East,ORD312663,LINE226122,Delivered,SHP110108,,2023-08-26,QA inspection delays,2023-08-17,Type 3,2023-08-19,2023-08-22,Product_1072,Description of item,94.46,Rep B,840.97,Zone D
Branch 3,Customer_6903,West,ORD997131,LINE714354,On Hold,SHP214052,URGENT,2021-06-01,shipping container shortage,2021-04-27,Type 2,2021-04-29,2021-05-25,Product_7888,Description of item,427.73,Rep D,4261.83,Zone A
Branch 1,Customer_3242,South,ORD910297,LINE168090,Delivered,SHP877002,,2024-07-07,demand surge,2024-06-01,Type 2,2024-06-03,2024-06-18,Product_5230,Description of item,166.07,Rep D,8048.75,Zone B
Branch 1,Customer_5321,East,ORD403449,LINE397891,Delivered,SHP669744,,2020-06-05,supply chain delay,2020-05-13,Type 3,2020-05-15,2020-05-23,Product_10978,Description of item,222.14,Rep C,3403.76,Zone C
Branch 4,Customer_7600,West,ORD314974,LINE657118,Shipped,SHP147012,,2022-11-16,on track,2022-10-24,Type 1,2022-10-26,2022-11-16,Product_10414,Description of item,320.11,Rep B,758.13,Zone C
Branch 3,Customer_2666,East,ORD471748,LINE412909,Shipped,SHP498506,URGENT,2023-12-11,on track,2023-11-16,Type 2,2023-11-18,2023-12-13,Product_3923,Description of item,485.65,Rep C,6877.87,Zone A
Branch 2,Customer_2828,East,ORD434602,LINE606766,Delivered,SHP587399,,2021-01-27,labor shortage,2021-01-01,Type 3,2021-01-03,2021-01-16,Product_9691,Description of item,227.58,Rep D,3810.24,Zone A
Branch 2,Customer_5563,North,ORD131022,LINE174754,Delivered,SHP584310,,2022-04-26,on track,2022-03-28,Type 3,2022-03-30,2022-04-26,Product_2132,Description of item,354.58,Rep B,8397.02,Zone D
Branch 2,Customer_9291,North,ORD754531,LINE396067,Processing,SHP724029,,2021-06-27,customs backlog,2021-06-04,Type 2,2021-06-06,2021-06-21,Product_7454,Description of item,300.71,Rep A,8857.59,Zone B
Branch 1,Customer_3192,East,ORD413185,LINE949907,On Hold,SHP918184,,2025-02-03,other issue,2025-01-16,Type 3,2025-01-18,2025-01-25,Product_6210,Description of item,280.79,Rep D,8755.64,Zone B
Branch 2,Customer_3268,West,ORD599445,LINE808181,Delivered,SHP803465,,2020-06-11,supply chain delay,2020-05-11,Type 2,2020-05-13,2020-05-29,Product_3147,Description of item,110.51,Rep D,9412.81,Zone A
Branch 2,Customer_8574,East,ORD356970,LINE430181,Processing,SHP191538,,2024-05-26,holiday backlog,2024-05-07,Type 2,2024-05-09,2024-05-22,Product_8512,Description of item,71.33,Rep A,510.63,Zone B
Branch 2,Customer_3946,North,ORD237578,LINE290146,Processing,SHP270706,,2024-01-16,QA inspection delays,2023-12-24,Type 1,2023-12-26,2024-01-08,Product_5635,Description of item,334.03,Rep B,4047.76,Zone D
Branch 2,Customer_8908,East,ORD835609,LINE132555,Delivered,SHP846258,,2024-03-08,on track,2024-02-22,Type 1,2024-02-24,2024-03-08,Product_8013,Description of item,417.86,Rep C,4957.56,Zone B
Branch 2,Customer_4783,South,ORD490094,LINE949462,Shipped,SHP772875,URGENT,2024-08-29,production capacity limits,2024-07-27,Type 1,2024-07-29,2024-08-19,Product_918,Description of item,108.81,Rep D,6026.64,Zone B
Branch 4,Customer_1472,East,ORD327930,LINE402740,Shipped,SHP438679,,2021-12-24,shipping container shortage,2021-11-21,Type 2,2021-11-23,2021-12-14,Product_5978,Description of item,417.29,Rep A,4742.69,Zone C
Branch 1,Customer_9324,North,ORD566598,LINE341873,On Hold,SHP176551,,2023-08-11,on track,2023-07-28,Type 2,2023-07-30,2023-08-12,Product_5371,Description of item,138.0,Rep A,2682.57,Zone B
Branch 4,Customer_9611,North,ORD662248,LINE537095,On Hold,SHP546779,,2024-09-30,on track,2024-09-04,Type 1,2024-09-06,2024-10-02,Product_7190,Description of item,327.25,Rep D,9722.08,Zone A
Branch 4,Customer_3709,North,ORD282466,LINE955428,On Hold,SHP467014,,2022-06-12,inflation impact,2022-05-21,Type 1,2022-05-23,2022-06-06,Product_4193,Description of item,97.85,Rep C,5860.44,Zone C
Branch 1,Customer_5059,North,ORD193747,LINE915824,On Hold,SHP129196,URGENT,2021-01-13,on track,2020-12-28,Type 1,2020-12-30,2021-01-14,Product_7128,Description of item,170.03,Rep C,944.98,Zone D
Branch 2,Customer_2495,East,ORD372680,LINE604499,On Hold,SHP414618,,2022-05-05,on track,2022-04-15,Type 2,2022-04-17,2022-05-07,Product_3120,Description of item,226.98,Rep D,9236.51,Zone A
Branch 3,Customer_4602,North,ORD455486,LINE609001,Delivered,SHP245239,,2020-07-10,on track,2020-06-15,Type 1,2020-06-17,2020-07-10,Product_9508,Description of item,78.83,Rep A,4684.21,Zone C
Branch 1,Customer_2695,South,ORD680544,LINE316168,Delivered,SHP733751,,2021-04-09,labor shortage,2021-03-05,Type 2,2021-03-07,2021-04-01,Product_4351,Description of item,152.06,Rep B,7554.18,Zone B
Branch 3,Customer_6349,East,ORD478855,LINE266766,Processing,SHP397876,,2024-05-06,demand surge,2024-04-13,Type 2,2024-04-15,2024-04-20,Product_7266,Description of item,247.76,Rep B,1250.13,Zone C
Branch 2,Customer_5474,South,ORD515560,LINE443104,Processing,SHP480671,,2021-01-08,COVID-19 disruption,2020-12-10,Type 3,2020-12-12,2020-12-22,Product_1663,Description of item,205.86,Rep C,9446.97,Zone A
Branch 4,Customer_3388,East,ORD804330,LINE660802,Shipped,SHP319842,,2022-02-02,labor shortage,2021-12-20,Type 2,2021-12-22,2022-01-15,Product_2337,Description of item,76.73,Rep A,2979.4,Zone A
Branch 4,Customer_4119,South,ORD758996,LINE663840,Delivered,SHP738460,,2023-08-14,on track,2023-08-02,Type 1,2023-08-04,2023-08-15,Product_2084,Description of item,80.13,Rep B,6468.02,Zone B
Branch 3,Customer_9369,South,ORD683640,LINE140079,On Hold,SHP884646,,2022-11-01,supplier price changes,2022-09-27,Type 1,2022-09-29,2022-10-20,Product_8667,Description of item,406.21,Rep C,5546.94,Zone C
Branch 4,Customer_5667,East,ORD390469,LINE928491,Delivered,SHP276535,,2020-04-10,on track,2020-04-03,Type 3,2020-04-05,2020-04-10,Product_6206,Description of item,100.95,Rep C,7225.04,Zone A
Branch 3,Customer_9727,West,ORD158394,LINE598221,Shipped,SHP825702,,2024-04-26,production capacity limits,2024-04-10,Type 2,2024-04-12,2024-04-25,Product_4306,Description of item,161.47,Rep A,3512.36,Zone A
Branch 3,Customer_5721,West,ORD666317,LINE863842,On Hold,SHP847220,URGENT,2023-10-22,inventory mismatch,2023-10-10,Type 3,2023-10-12,2023-10-17,Product_497,Description of item,160.15,Rep A,8820.71,Zone A
Branch 2,Customer_8492,East,ORD653594,LINE392924,Delivered,SHP914456,,2021-12-27,labor shortage,2021-12-13,Type 2,2021-12-15,2021-12-18,Product_5132,Description of item,189.01,Rep A,5404.63,Zone D
Branch 1,Customer_8197,West,ORD991486,LINE122052,Processing,SHP597841,URGENT,2022-07-11,on track,2022-06-24,Type 1,2022-06-26,2022-07-12,Product_4721,Description of item,325.95,Rep C,9305.61,Zone A
Branch 2,Customer_6301,North,ORD870597,LINE560263,Shipped,SHP286315,,2020-07-14,factory shutdown,2020-06-22,Type 1,2020-06-24,2020-07-06,Product_99,Description of item,447.35,Rep C,2033.0,Zone D
Branch 1,Customer_4330,South,ORD594331,LINE530545,Processing,SHP275272,URGENT,2023-12-12,severe weather,2023-11-23,Type 2,2023-11-25,2023-12-11,Product_7780,Description of item,407.89,Rep A,1033.07,Zone C
